HDI Rank,Country,Gender Inequality Index Value,Gender Inequality Index Rank,Maternal Mortality Ratio,Adolescent Birth Rate,Women Share of Seats in Parliament ,Female Population with Some Secondary Education,Male Population with Some Secondary Education, Female Labour Force Participation Rate,Male Labour Force Participation Rate
1.0,Switzerland,0.018,3,5,2.2,39.8,96.9,97.5,61.7,72.7
2.0,Norway,0.016,2,2,2.3,45.0,99.1,99.3,60.3,72.0
3.0,Iceland,0.043,8,4,5.4,47.6,99.8,99.7,61.7,70.5
4.0,"Hong Kong, China (SAR)",..,..,..,1.6,..,77.1,83.4,53.5,65.8
5.0,Australia,0.073,19,6,8.1,37.9,94.6,94.4,61.1,70.5
6.0,Denmark,0.013,1,4,1.9,39.7,95.1,95.2,57.7,66.7
7.0,Sweden,0.023,4,4,3.3,47.0,91.8,92.2,61.7,68.0
8.0,Ireland,0.074,21,5,5.9,27.3,88.1,86.0,56.5,68.6
9.0,Germany,0.073,19,7,7.5,34.8,96.1,96.5,56.8,66.0
10.0,Netherlands,0.025,5,5,2.8,39.1,89.8,92.7,62.4,71.3
11.0,Finland,0.033,6,3,4.2,46.0,99.0,98.5,56.5,64.0
12.0,Singapore,0.040,7,8,2.6,29.8,80.5,85.9,59.4,76.8
13.0,Belgium,0.048,10,5,5.3,42.9,87.2,89.7,49.8,58.8
13.0,New Zealand,0.088,25,9,12.6,49.2,82.0,81.8,65.1,75.3
15.0,Canada,0.069,17,10,7.0,34.4,100.0,100.0,60.8,69.7
16.0,Liechtenstein,..,..,..,3.0,28.0,..,..,..,..
17.0,Luxembourg,0.044,9,5,4.3,35.0,100.0,100.0,58.5,65.5
18.0,United Kingdom,0.098,27,7,10.5,31.1,99.8,99.8,58.0,67.1
19.0,Japan,0.083,22,5,2.9,14.2,95.9,92.7,53.3,71.0
19.0,Korea (Republic of),0.067,15,11,2.2,19.0,83.1,93.1,53.4,72.4
21.0,United States,0.179,44,19,16.0,27.0,96.5,96.4,55.2,66.4
22.0,Israel,0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1
23.0,Malta,0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4
23.0,Slovenia,0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2
25.0,Austria,0.053,12,5,5.5,39.3,100.0,100.0,55.5,66.3
26.0,United Arab Emirates,0.049,11,3,3.1,50.0,82.0,85.6,46.5,88.0
27.0,Spain,0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4
28.0,France,0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7
29.0,Cyprus,0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8
30.0,Italy,0.056,13,2,4.0,35.3,78.6,86.1,39.9,57.6
31.0,Estonia,0.100,28,9,8.8,25.7,97.6,98.1,57.5,70.2
32.0,Czechia,0.120,34,3,9.7,22.1,99.8,99.8,51.7,68.1
33.0,Greece,0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1
34.0,Poland,0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5
35.0,Bahrain,0.181,46,14,8.7,18.8,79.9,83.1,42.4,83.5
35.0,Lithuania,0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9
35.0,Saudi Arabia,0.247,59,17,11.9,19.9,71.3,80.9,30.9,80.1
38.0,Portugal,0.067,15,8,7.4,40.0,59.7,61.9,54.0,62.2
39.0,Latvia,0.151,40,19,11.2,29.0,99.7,99.3,54.5,66.8
40.0,Andorra,..,..,..,5.9,46.4,70.7,72.4,..,..
40.0,Croatia,0.093,26,8,8.6,31.1,97.0,100.0,45.9,58.8
42.0,Chile,0.187,47,13,24.1,32.7,80.3,83.5,44.2,65.5
42.0,Qatar,0.220,54,9,7.1,4.4,79.8,69.6,57.2,95.5
44.0,San Marino,..,..,..,3.8,33.3,81.8,84.3,..,..
45.0,Slovakia,0.180,45,5,26.3,22.7,98.9,99.2,54.7,66.4
46.0,Hungary,0.221,55,12,22.1,13.1,97.6,98.8,52.1,67.2
47.0,Argentina,0.287,69,39,39.1,44.4,71.0,71.4,50.0,71.6
48.0,Türkiye,0.272,65,17,16.9,17.3,56.3,75.9,31.8,69.4
49.0,Montenegro,0.119,32,6,10.4,24.7,92.3,99.2,47.8,62.0
50.0,Kuwait,0.305,74,12,5.6,1.5,60.9,55.2,47.4,83.8
51.0,Brunei Darussalam,0.259,61,31,10.0,9.1,70.4,71.2,54.1,72.3
52.0,Russian Federation,0.203,50,17,15.0,16.5,92.8,95.9,54.5,69.7
53.0,Romania,0.282,67,19,36.4,18.5,88.8,93.7,42.8,62.3
54.0,Oman,0.300,72,19,9.9,9.9,96.6,99.9,28.7,85.0
55.0,Bahamas,0.329,78,70,25.7,20.0,87.0,89.9,65.6,71.5
56.0,Kazakhstan,0.161,41,10,21.9,24.5,99.8,100.0,63.3,75.5
57.0,Trinidad and Tobago,0.344,81,67,38.1,32.4,84.8,80.6,46.7,68.0
58.0,Costa Rica,0.256,60,27,37.1,45.6,56.2,54.5,47.5,71.1
58.0,Uruguay,0.235,58,17,36.2,26.2,59.6,55.5,54.8,69.3
60.0,Belarus,0.104,29,2,11.9,34.7,97.5,99.0,57.3,71.4
61.0,Panama,0.392,96,52,69.9,22.5,70.2,68.7,50.4,72.6
62.0,Malaysia,0.228,57,29,9.3,14.9,75.0,78.4,51.2,77.6
63.0,Georgia,0.280,66,25,31.7,19.3,97.1,98.3,51.0,68.0
63.0,Mauritius,0.347,82,61,24.6,20.0,64.4,70.8,43.4,70.4
63.0,Serbia,0.131,36,12,14.9,39.2,88.6,95.3,46.6,62.3
66.0,Thailand,0.333,79,37,32.7,13.9,47.6,51.7,59.0,75.0
67.0,Albania,0.144,39,15,14.5,35.7,95.4,93.0,50.7,66.2
68.0,Bulgaria,0.210,52,10,38.6,23.8,94.9,96.5,49.1,62.6
68.0,Grenada,..,..,25,32.7,32.1,..,..,..,..
70.0,Barbados,0.268,64,27,42.3,29.4,95.4,86.0,56.1,63.7
71.0,Antigua and Barbuda,..,..,42,33.1,31.4,..,..,..,..
72.0,Seychelles,..,..,53,53.4,22.9,..,..,..,..
73.0,Sri Lanka,0.383,92,36,15.7,5.4,84.0,84.2,30.9,68.5
74.0,Bosnia and Herzegovina,0.136,38,10,9.9,24.6,82.7,94.0,32.3,52.4
75.0,Saint Kitts and Nevis,..,..,..,38.2,25.0,..,..,..,..
76.0,Iran (Islamic Republic of),0.459,115,16,30.2,5.6,71.6,76.0,14.4,68.1
77.0,Ukraine,0.200,49,19,15.6,20.8,96.2,95.8,48.1,63.6
78.0,North Macedonia,0.134,37,7,16.4,41.7,61.9,75.1,42.4,63.4
79.0,China,0.192,48,29,11.0,24.9,78.3,85.4,61.6,74.3
80.0,Dominican Republic,0.429,106,95,65.6,25.7,77.4,76.9,49.6,75.2
80.0,Moldova (Republic of),0.205,51,19,27.8,39.6,96.1,98.0,33.9,43.9
80.0,Palau,..,..,..,42.5,6.9,96.9,97.3,..,..
83.0,Cuba,0.303,73,36,48.8,53.4,89.5,91.9,40.3,68.5
84.0,Peru,0.380,90,88,56.8,40.0,59.3,69.9,66.1,81.9
85.0,Armenia,0.216,53,26,18.5,33.6,96.0,97.1,42.7,63.0
86.0,Mexico,0.309,75,33,54.4,49.8,65.1,66.7,43.8,75.4
87.0,Brazil,0.390,94,60,45.2,14.8,62.4,59.1,49.1,68.2
88.0,Colombia,0.424,102,83,59.0,19.6,58.9,56.5,52.2,78.0
89.0,Saint Vincent and the Grenadines,0.390,94,68,47.9,18.2,44.1,39.6,52.9,74.1
90.0,Maldives,0.348,83,53,7.3,4.6,46.4,41.5,34.3,67.5
91.0,Algeria,0.499,126,112,11.7,7.5,46.0,56.9,15.7,64.5
91.0,Azerbaijan,0.294,70,26,40.1,18.2,93.6,97.6,60.4,67.3
91.0,Tonga,0.631,160,52,19.0,0.0,93.5,93.1,37.3,55.3
91.0,Turkmenistan,0.177,43,7,21.8,25.0,93.5,92.2,36.5,55.6
95.0,Ecuador,0.362,85,59,63.2,39.4,53.0,52.0,53.3,76.5
96.0,Mongolia,0.313,76,45,26.7,17.1,79.3,73.0,51.5,66.6
97.0,Egypt,0.443,109,37,44.8,22.9,81.6,76.6,15.4,67.1
97.0,Tunisia,0.259,61,43,6.7,26.3,42.9,51.8,25.5,67.2
99.0,Fiji,0.318,77,34,26.8,21.6,90.2,87.9,37.7,75.3
99.0,Suriname,0.427,105,120,56.1,29.4,69.9,70.7,43.4,65.1
101.0,Uzbekistan,0.227,56,29,15.9,28.7,99.9,100.0,44.9,70.9
102.0,Dominica,..,..,..,38.5,34.4,..,..,..,..
102.0,Jordan,0.471,118,46,25.4,11.8,77.4,84.2,13.5,62.3
104.0,Libya,0.259,61,72,6.9,16.0,70.5,45.1,34.1,61.0
105.0,Paraguay,0.445,111,84,70.3,16.8,52.5,54.0,59.6,84.2
106.0,"Palestine, State of",..,..,27,43.5,..,67.9,67.6,16.7,66.3
106.0,Saint Lucia,0.381,91,117,36.9,24.1,49.9,43.8,63.2,73.2
108.0,Guyana,0.454,114,169,66.6,35.7,69.5,62.2,40.3,64.1
109.0,South Africa,0.405,97,119,61.2,46.0,68.9,87.7,46.2,59.9
110.0,Jamaica,0.335,80,80,32.8,31.0,74.3,66.4,56.1,70.0
111.0,Samoa,0.418,99,43,43.6,7.8,79.1,71.6,30.7,54.2
112.0,Gabon,0.541,140,252,91.2,18.7,67.2,84.0,39.1,57.0
112.0,Lebanon,0.432,108,29,20.3,4.7,54.3,55.6,20.8,64.3
114.0,Indonesia,0.444,110,177,33.9,21.0,51.0,58.2,53.7,81.7
115.0,Viet Nam,0.296,71,43,34.6,30.3,61.3,69.6,69.6,79.4
116.0,Philippines,0.419,101,121,48.2,28.0,73.4,69.1,43.8,68.3
117.0,Botswana,0.468,117,144,49.3,10.8,91.3,91.8,56.3,65.1
118.0,Bolivia (Plurinational State of),0.418,99,155,63.8,48.2,60.1,69.7,68.3,83.8
118.0,Kyrgyzstan,0.370,87,60,34.7,20.5,100.0,99.8,42.1,71.7
120.0,Venezuela (Bolivarian Republic of),0.492,123,125,82.7,22.2,79.8,75.4,34.3,67.8
121.0,Iraq,0.558,145,79,62.2,28.9,42.0,52.9,11.1,71.8
122.0,Tajikistan,0.285,68,17,45.4,23.4,93.5,94.6,30.2,50.5
123.0,Belize,0.364,86,36,57.1,19.6,54.5,49.8,46.9,76.8
123.0,Morocco,0.425,104,70,25.9,20.4,30.9,37.1,22.0,66.0
125.0,El Salvador,0.376,88,46,55.9,27.4,42.7,51.4,43.6,72.6
126.0,Nicaragua,0.424,102,98,85.6,50.5,51.2,49.7,46.8,81.3
127.0,Bhutan,0.415,98,183,19.0,16.7,23.6,32.3,51.6,67.4
128.0,Cabo Verde,0.349,84,58,55.2,38.9,28.8,31.2,46.9,61.7
129.0,Bangladesh,0.530,131,173,75.5,20.9,50.6,58.5,34.9,78.8
130.0,Tuvalu,..,..,..,33.1,6.3,60.0,60.7,..,..
131.0,Marshall Islands,..,..,..,58.0,6.1,91.6,92.5,..,..
132.0,India,0.490,122,133,17.2,13.4,41.8,53.8,19.2,70.1
133.0,Ghana,0.529,130,308,64.2,14.5,58.0,73.2,64.5,72.2
134.0,Micronesia (Federated States of),..,..,88,35.8,7.1,..,..,..,..
135.0,Guatemala,0.481,121,95,64.1,19.4,29.5,35.8,37.4,80.3
136.0,Kiribati,..,..,92,40.5,6.7,..,..,..,..
137.0,Honduras,0.431,107,65,72.0,27.3,35.8,44.8,42.3,78.9
138.0,Sao Tome and Principe,0.494,124,130,79.4,23.6,39.9,48.4,37.1,69.9
139.0,Namibia,0.445,111,195,64.9,35.6,41.5,44.1,54.5,62.2
140.0,Lao People's Democratic Republic,0.478,120,185,73.2,22.0,37.7,47.7,74.8,78.1
140.0,Timor-Leste,0.378,89,142,33.9,38.5,33.7,41.8,61.0,72.2
140.0,Vanuatu,..,..,72,64.1,0.0,..,..,59.7,78.0
143.0,Nepal,0.452,113,186,63.8,33.6,28.8,44.7,78.7,80.8
144.0,Eswatini (Kingdom of),0.540,138,437,69.9,18.4,34.0,36.2,45.6,53.6
145.0,Equatorial Guinea,..,..,301,139.7,20.3,..,..,49.9,58.5
146.0,Cambodia,0.461,116,160,45.5,19.8,18.3,31.7,74.0,85.9
146.0,Zimbabwe,0.532,134,458,94.3,34.6,61.8,72.4,79.3,88.9
148.0,Angola,0.537,136,241,138.4,29.5,28.2,51.5,74.0,79.1
149.0,Myanmar,0.498,125,250,33.0,15.0,38.5,47.8,41.0,70.0
150.0,Syrian Arab Republic,0.477,119,31,38.7,11.2,37.1,43.4,15.7,70.8
151.0,Cameroon,0.565,148,529,110.4,31.1,36.8,55.0,70.2,80.7
152.0,Kenya,0.506,128,342,64.2,23.2,31.1,37.7,71.0,75.6
153.0,Congo,0.564,147,378,103.6,13.6,48.0,52.0,65.1,67.6
154.0,Zambia,0.540,138,213,117.0,15.1,47.1,56.8,69.2,77.8
155.0,Solomon Islands,..,..,104,60.3,8.0,..,..,83.1,87.4
156.0,Comoros,..,..,273,58.2,16.7,..,..,32.1,54.5
156.0,Papua New Guinea,0.725,169,145,55.3,0.0,10.8,15.5,46.3,48.1
158.0,Mauritania,0.632,161,766,78.0,20.3,14.5,21.9,27.4,62.2
159.0,Côte d'Ivoire,0.613,155,617,105.0,15.6,23.9,32.2,45.9,64.9
160.0,Tanzania (United Republic of),0.560,146,524,123.7,36.9,13.0,19.1,79.5,87.1
161.0,Pakistan,0.534,135,140,42.3,19.9,22.1,28.7,20.7,78.1
162.0,Togo,0.580,149,396,77.9,18.7,13.9,42.3,55.5,59.4
163.0,Haiti,0.635,163,480,52.5,2.7,27.9,41.0,60.7,68.9
163.0,Nigeria,0.680,168,917,101.7,4.5,40.4,55.3,47.9,59.6
165.0,Rwanda,0.388,93,248,32.4,55.7,11.4,16.3,82.5,82.2
166.0,Benin,0.602,152,397,92.3,8.4,21.1,34.4,69.3,72.6
166.0,Uganda,0.530,131,375,107.9,33.8,29.3,36.3,64.2,71.3
168.0,Lesotho,0.557,144,544,89.6,22.9,27.2,24.6,56.1,71.3
169.0,Malawi,0.554,142,349,117.9,22.9,21.3,28.4,71.6,80.0
170.0,Senegal,0.530,131,315,66.5,43.0,11.1,30.9,33.5,56.7
171.0,Djibouti,..,..,248,22.7,26.2,..,..,17.2,44.1
172.0,Sudan,0.553,141,295,79.9,31.0,16.4,20.1,28.7,67.8
173.0,Madagascar,0.556,143,335,119.4,17.2,27.3,29.8,81.5,87.6
174.0,Gambia,0.611,153,597,63.2,8.6,29.9,43.2,48.9,66.3
175.0,Ethiopia,0.520,129,401,69.2,39.5,9.1,20.1,72.3,84.7
176.0,Eritrea,..,..,480,64.4,22.0,..,..,70.2,83.6
177.0,Guinea-Bissau,0.627,159,667,87.5,13.7,9.8,22.8,63.9,78.4
178.0,Liberia,0.648,164,661,123.4,9.7,20.8,39.2,69.8,79.7
179.0,Congo (Democratic Republic of the),0.601,151,473,109.0,14.3,40.3,69.1,61.2,69.1
180.0,Afghanistan,0.678,167,638,82.6,27.2,6.4,14.9,14.8,66.5
181.0,Sierra Leone,0.633,162,"1,120",100.9,12.3,34.7,51.5,56.1,55.9
182.0,Guinea,0.621,157,576,114.8,16.7,7.2,19.7,62.1,62.2
183.0,Yemen,0.820,170,164,54.4,0.3,22.4,37.5,6.0,67.6
184.0,Burkina Faso,0.621,157,320,110.5,6.3,11.3,17.1,57.2,72.7
185.0,Mozambique,0.537,136,289,165.8,42.4,10.8,20.2,77.7,78.9
186.0,Mali,0.613,155,562,150.1,27.3,8.0,15.5,57.7,79.7
187.0,Burundi,0.505,127,548,53.6,38.9,7.8,13.0,79.0,77.4
188.0,Central African Republic,0.672,166,829,160.5,12.9,13.9,31.6,63.3,79.5
189.0,Niger,0.611,153,509,170.5,25.9,9.2,15.2,61.7,84.3
190.0,Chad,0.652,165,"1,140",138.3,32.3,7.7,24.4,46.9,69.9
191.0,South Sudan,0.587,150,"1,150",99.2,32.3,26.5,36.4,70.4,73.6
Not known,Korea (Democratic People's Rep. of),..,..,89,2.3,17.6,..,..,77.2,86.1
Not known,Monaco,..,..,..,7.2,33.3,..,..,..,..
Not known,Nauru,..,..,..,72.5,10.5,..,..,..,..
Not known,Somalia,..,..,829,118.0,24.6,..,..,20.9,47.0
